"Unemployment rate, Australia, August 1966 to January 2024, Seasonally adjusted"
"Jun-79","6.3","5.2","8.0"
"Jul-79","6.3","5.1","8.3"
"Aug-79","6.1","5.0","8.2"
"Sep-79","6.2","5.0","8.4"
"Oct-79","6.4","5.0","8.7"
"Nov-79","6.0","4.8","8.1"
"Dec-79","6.1","5.0","8.1"
"Jan-80","6.1","5.2","7.8"
"Feb-80","6.0","5.0","7.7"
"Mar-80","5.9","5.0","7.5"
"Apr-80","6.1","5.2","7.7"
"May-80","6.2","5.3","7.8"
"Jun-80","6.3","5.2","8.2"
"Jul-80","6.1","5.1","7.7"
"Aug-80","6.2","5.2","7.9"
"Sep-80","6.1","5.1","7.8"
"Oct-80","6.1","4.9","8.0"
"Nov-80","5.9","4.7","7.8"
"Dec-80","6.1","4.9","8.0"
"Jan-81","5.9","4.9","7.6"
"Feb-81","5.6","4.7","7.2"
"Mar-81","5.7","4.7","7.5"
"Apr-81","5.6","4.6","7.2"
"May-81","5.6","4.6","7.2"
"Jun-81","5.4","4.5","6.9"
"Jul-81","5.8","4.8","7.6"
"Aug-81","5.8","4.8","7.6"
"Sep-81","5.8","5.0","7.2"
"Oct-81","5.9","5.0","7.3"
"Nov-81","6.0","5.1","7.5"
"Dec-81","6.0","5.1","7.6"
"Jan-82","6.0","5.0","7.6"
"Feb-82","6.3","5.3","8.0"
"Mar-82","6.3","5.4","7.9"
"Apr-82","6.3","5.4","7.8"
"May-82","6.6","5.7","8.2"
"Jun-82","6.8","5.8","8.4"
"Jul-82","6.9","6.1","8.2"
"Aug-82","7.0","6.5","7.9"
"Sep-82","7.4","6.9","8.4"
"Oct-82","8.3","7.5","9.6"
"Nov-82","8.7","8.1","9.7"
"Dec-82","9.4","9.0","10.1"
"Jan-83","9.3","9.0","9.7"
"Feb-83","9.7","9.3","10.3"
"Mar-83","10.0","9.7","10.3"
"Apr-83","10.2","10.1","10.3"
"May-83","10.3","10.1","10.7"
"Jun-83","10.2","10.1","10.4"
"Jul-83","10.5","10.4","10.6"
"Aug-83","10.2","10.1","10.5"
"Sep-83","10.3","10.0","10.9"
"Oct-83","10.0","9.8","10.4"
"Nov-83","9.7","9.5","9.9"
"Dec-83","9.5","9.2","9.8"
"Jan-84","9.5","9.4","9.7"
"Feb-84","9.4","9.1","9.9"
"Mar-84","9.2","8.8","9.8"
"Apr-84","9.4","8.9","10.2"
"May-84","8.9","8.7","9.3"
"Jun-84","9.1","8.7","9.7"
"Jul-84","8.9","8.6","9.5"
"Aug-84","8.8","8.8","8.9"
"Sep-84","8.7","8.6","9.0"
"Oct-84","8.7","8.5","9.0"
"Nov-84","8.7","8.3","9.3"
"Dec-84","8.5","8.3","8.9"
"Jan-85","8.6","8.3","8.9"
"Feb-85","8.4","8.1","8.9"
"Mar-85","8.7","8.5","9.0"
"Apr-85","8.4","8.2","8.7"
"May-85","8.4","8.2","8.7"
"Jun-85","8.6","8.4","8.8"
"Jul-85","8.3","8.2","8.5"
"Aug-85","8.2","8.0","8.5"
"Sep-85","8.1","7.7","8.7"
"Oct-85","7.8","7.4","8.5"
"Nov-85","7.9","7.4","8.8"
"Dec-85","7.8","7.3","8.6"
"Jan-86","7.8","7.4","8.4"
"Feb-86","8.0","7.5","8.8"
"Mar-86","7.9","7.5","8.6"
"Apr-86","7.9","7.5","8.5"
"May-86","7.8","7.4","8.5"
"Jun-86","7.7","7.2","8.3"
"Jul-86","8.1","7.7","8.8"
"Aug-86","8.2","7.8","8.9"
"Sep-86","8.3","7.9","9.0"
"Oct-86","8.3","8.0","8.8"
"Nov-86","8.3","8.1","8.6"
"Dec-86","8.4","8.2","8.6"
"Jan-87","8.2","8.0","8.5"
"Feb-87","8.2","7.9","8.7"
"Mar-87","8.4","8.1","9.0"
"Apr-87","8.3","7.8","9.0"
"May-87","8.2","7.9","8.6"
"Jun-87","8.0","7.8","8.3"
"Jul-87","8.1","7.8","8.6"
"Aug-87","8.1","7.6","8.8"
"Sep-87","7.8","7.5","8.2"
"Oct-87","8.1","7.9","8.4"
"Nov-87","7.9","7.6","8.4"
"Dec-87","7.7","7.4","8.3"
"Jan-88","7.6","7.2","8.3"
"Feb-88","7.4","7.0","8.0"
"Mar-88","7.5","7.1","8.1"
"Apr-88","7.9","7.4","8.6"
"May-88","7.5","7.0","8.1"
"Jun-88","7.6","7.1","8.3"
"Jul-88","6.8","6.5","7.1"
"Aug-88","7.1","6.6","7.7"
"Sep-88","6.9","6.5","7.5"
"Oct-88","6.8","6.4","7.4"
"Nov-88","6.6","6.1","7.3"
"Dec-88","6.8","6.4","7.5"
"Jan-89","6.8","6.3","7.6"
"Feb-89","6.6","6.3","7.2"
"Mar-89","6.3","5.9","6.9"
"Apr-89","6.2","5.7","6.9"
"May-89","6.3","5.7","7.1"
"Jun-89","6.0","5.6","6.6"
"Jul-89","6.0","5.6","6.7"
"Aug-89","5.9","5.5","6.6"
"Sep-89","6.0","5.6","6.6"
"Oct-89","5.9","5.4","6.7"
"Nov-89","5.8","5.3","6.5"
"Dec-89","5.8","5.5","6.4"
"Jan-90","6.1","5.7","6.7"
"Feb-90","6.4","5.9","7.1"
"Mar-90","6.2","5.9","6.6"
"Apr-90","6.3","6.1","6.5"
"May-90","6.5","6.3","6.8"
"Jun-90","6.6","6.3","7.1"
"Jul-90","7.1","6.9","7.3"
"Aug-90","7.2","7.0","7.5"
"Sep-90","7.4","7.3","7.5"
"Oct-90","7.6","7.6","7.7"
"Nov-90","7.9","8.2","7.7"
"Dec-90","8.0","8.1","7.9"
"Jan-91","8.4","8.5","8.3"
"Feb-91","8.6","8.8","8.4"
"Mar-91","9.2","9.4","8.8"
"Apr-91","9.9","10.1","9.5"
"May-91","9.5","9.7","9.2"
"Jun-91","9.5","9.9","9.0"
"Jul-91","9.7","10.1","9.1"
"Aug-91","9.8","10.3","9.1"
"Sep-91","10.0","10.4","9.5"
"Oct-91","10.0","10.5","9.2"
"Nov-91","10.2","10.6","9.7"
"Dec-91","10.5","10.9","9.9"
"Jan-92","10.3","10.8","9.8"
"Feb-92","10.4","10.9","9.8"
"Mar-92","10.5","11.0","9.8"
"Apr-92","10.5","11.0","9.8"
"May-92","10.6","11.2","9.8"
"Jun-92","10.8","11.4","10.0"
"Jul-92","11.1","11.9","10.1"
"Aug-92","10.7","11.4","9.8"
"Sep-92","10.6","11.2","9.8"
"Oct-92","11.1","11.8","10.1"
"Nov-92","11.1","12.0","9.9"
"Dec-92","11.2","11.8","10.4"
"Jan-93","10.8","11.6","9.8"
"Feb-93","11.0","11.8","9.9"
"Mar-93","10.9","11.5","10.0"
"Apr-93","10.8","11.7","9.4"
"May-93","10.8","11.7","9.5"
"Jun-93","11.0","11.8","9.9"
"Jul-93","10.9","11.6","10.0"
"Aug-93","11.0","11.6","10.1"
"Sep-93","10.7","11.2","10.1"
"Oct-93","11.0","11.4","10.3"
"Nov-93","10.9","11.3","10.5"
"Dec-93","10.8","11.3","10.1"
"Jan-94","10.6","11.0","10.0"
"Feb-94","10.4","10.9","9.8"
"Mar-94","10.4","10.9","9.7"
"Apr-94","10.1","10.4","9.6"
"May-94","9.8","10.1","9.3"
"Jun-94","9.8","10.1","9.4"
"Jul-94","9.6","9.7","9.5"
"Aug-94","9.4","9.7","9.1"
"Sep-94","9.4","9.5","9.2"
"Oct-94","9.1","9.3","8.9"
"Nov-94","9.1","9.4","8.9"
"Dec-94","8.9","9.0","8.8"
"Jan-95","8.9","9.1","8.6"
"Feb-95","8.8","8.9","8.7"
"Mar-95","8.6","8.6","8.6"
"Apr-95","8.3","8.6","7.8"
"May-95","8.5","8.9","7.9"
"Jun-95","8.4","8.8","7.8"
"Jul-95","8.4","8.9","7.8"
"Aug-95","8.3","8.6","8.0"
"Sep-95","8.4","8.8","7.8"
"Oct-95","8.6","8.9","8.1"
"Nov-95","8.5","8.6","8.3"
"Dec-95","8.1","8.6","7.6"
"Jan-96","8.5","8.9","7.9"
"Feb-96","8.3","8.6","7.9"
"Mar-96","8.4","8.8","7.9"
"Apr-96","8.6","8.9","8.2"
"May-96","8.4","8.5","8.3"
"Jun-96","8.3","8.5","8.0"
"Jul-96","8.6","8.6","8.6"
"Aug-96","8.7","9.0","8.4"
"Sep-96","8.6","8.7","8.4"
"Oct-96","8.8","8.9","8.5"
"Nov-96","8.5","8.7","8.2"
"Dec-96","8.6","8.7","8.5"
"Jan-97","8.6","8.7","8.4"
"Feb-97","8.7","8.9","8.4"
"Mar-97","8.6","8.9","8.1"
"Apr-97","8.6","8.8","8.3"
"May-97","8.5","8.7","8.3"
"Jun-97","8.3","8.5","8.1"
"Jul-97","8.6","8.9","8.1"
"Aug-97","8.5","8.6","8.3"
"Sep-97","8.1","8.4","7.6"
"Oct-97","8.0","8.3","7.7"
"Nov-97","8.0","8.3","7.6"
"Dec-97","7.9","8.2","7.6"
"Jan-98","7.9","8.0","7.7"
"Feb-98","7.8","8.0","7.4"
"Mar-98","7.9","8.2","7.5"
"Apr-98","7.6","7.7","7.5"
"May-98","7.8","8.1","7.4"
"Jun-98","7.8","8.2","7.3"
"Jul-98","8.0","8.4","7.4"
"Aug-98","7.8","8.2","7.1"
"Sep-98","7.6","7.9","7.3"
"Oct-98","7.3","7.6","7.0"
"Nov-98","7.6","7.8","7.4"
"Dec-98","7.2","7.5","6.8"
"Jan-99","7.1","7.3","6.9"
"Feb-99","7.1","7.3","6.8"
"Mar-99","7.0","7.1","6.9"
"Apr-99","7.0","7.1","6.8"
"May-99","7.0","7.2","6.8"
"Jun-99","6.7","6.8","6.5"
"Jul-99","6.7","6.9","6.4"
"Aug-99","6.9","7.1","6.6"
"Sep-99","7.0","7.2","6.9"
"Oct-99","6.8","7.0","6.5"
"Nov-99","6.4","6.6","6.3"
"Dec-99","6.7","7.0","6.3"
"Jan-00","6.8","6.9","6.7"
"Feb-00","6.6","6.6","6.7"
"Mar-00","6.6","6.6","6.6"
"Apr-00","6.4","6.4","6.4"
"May-00","6.4","6.4","6.4"
"Jun-00","6.1","6.3","5.9"
"Jul-00","6.0","6.3","5.6"
"Aug-00","6.1","6.4","5.6"
"Sep-00","6.0","6.3","5.6"
"Oct-00","6.0","6.4","5.6"
"Nov-00","6.3","6.5","5.9"
"Dec-00","6.2","6.6","5.8"
"Jan-01","6.1","6.5","5.7"
"Feb-01","6.5","6.8","6.2"
"Mar-01","6.5","6.8","6.1"
"Apr-01","6.8","7.0","6.5"
"May-01","6.9","7.0","6.7"
"Jun-01","6.9","7.2","6.7"
"Jul-01","6.9","7.2","6.5"
"Aug-01","6.9","7.1","6.6"
"Sep-01","6.8","7.1","6.5"
"Oct-01","7.2","7.4","6.9"
"Nov-01","6.9","7.2","6.5"
"Dec-01","6.9","7.0","6.7"
"Jan-02","6.9","7.1","6.7"
"Feb-02","6.5","6.8","6.1"
"Mar-02","6.4","6.8","5.9"
"Apr-02","6.3","6.7","5.9"
"May-02","6.4","6.6","6.0"
"Jun-02","6.5","6.5","6.5"
"Jul-02","6.2","6.3","6.1"
"Aug-02","6.3","6.5","6.2"
"Sep-02","6.3","6.4","6.3"
"Oct-02","6.1","6.2","6.1"
"Nov-02","6.2","6.2","6.2"
"Dec-02","6.2","6.3","6.0"
"Jan-03","6.1","6.2","5.9"
"Feb-03","6.0","6.1","5.8"
"Mar-03","6.1","6.1","6.2"
"Apr-03","6.0","6.2","5.8"
"May-03","6.1","6.1","6.1"
"Jun-03","6.1","6.2","5.9"
"Jul-03","6.1","6.1","6.1"
"Aug-03","5.8","5.7","5.9"
"Sep-03","5.8","5.6","6.0"
"Oct-03","5.8","5.7","5.9"
"Nov-03","5.7","5.4","6.0"
"Dec-03","5.7","5.4","6.0"
"Jan-04","5.5","5.3","5.8"
"Feb-04","5.6","5.4","5.9"
"Mar-04","5.4","5.3","5.6"
"Apr-04","5.5","5.5","5.6"
"May-04","5.3","5.2","5.5"
"Jun-04","5.5","5.4","5.6"
"Jul-04","5.5","5.4","5.8"
"Aug-04","5.5","5.4","5.6"
"Sep-04","5.4","5.4","5.4"
"Oct-04","5.1","5.1","5.2"
"Nov-04","5.2","5.1","5.2"
"Dec-04","5.1","5.0","5.2"
"Jan-05","5.1","4.9","5.3"
"Feb-05","5.1","4.9","5.3"
"Mar-05","5.2","4.9","5.5"
"Apr-05","5.1","4.9","5.4"
"May-05","5.1","4.9","5.3"
"Jun-05","4.9","4.7","5.2"
"Jul-05","5.0","4.7","5.3"
"Aug-05","4.9","4.9","4.9"
"Sep-05","5.0","4.9","5.1"
"Oct-05","5.0","4.9","5.1"
"Nov-05","4.9","4.9","4.9"
"Dec-05","5.1","5.1","5.1"
"Jan-06","5.2","5.1","5.2"
"Feb-06","5.1","5.1","5.1"
"Mar-06","4.9","4.8","4.9"
"Apr-06","5.0","4.8","5.2"
"May-06","4.8","4.7","4.9"
"Jun-06","4.8","4.7","5.0"
"Jul-06","4.7","4.6","4.7"
"Aug-06","4.7","4.6","4.8"
"Sep-06","4.7","4.6","4.7"
"Oct-06","4.5","4.3","4.6"
"Nov-06","4.5","4.4","4.7"
"Dec-06","4.6","4.3","4.9"
"Jan-07","4.6","4.3","4.9"
"Feb-07","4.6","4.3","5.1"
"Mar-07","4.5","4.1","4.9"
"Apr-07","4.4","4.0","4.8"
"May-07","4.3","3.9","4.7"
"Jun-07","4.3","3.9","4.8"
"Jul-07","4.3","3.9","4.7"
"Aug-07","4.3","4.0","4.7"
"Sep-07","4.2","3.8","4.7"
"Oct-07","4.3","4.0","4.7"
"Nov-07","4.4","4.2","4.7"
"Dec-07","4.3","4.2","4.4"
"Jan-08","4.2","3.8","4.7"
"Feb-08","4.0","3.6","4.4"
"Mar-08","4.1","3.9","4.2"
"Apr-08","4.3","4.1","4.5"
"May-08","4.3","4.0","4.6"
"Jun-08","4.2","4.0","4.6"
"Jul-08","4.3","3.8","4.8"
"Aug-08","4.0","3.7","4.4"
"Sep-08","4.3","4.0","4.6"
"Oct-08","4.3","4.0","4.7"
"Nov-08","4.5","4.1","4.8"
"Dec-08","4.6","4.6","4.5"
"Jan-09","4.9","5.0","4.8"
"Feb-09","5.3","5.3","5.4"
"Mar-09","5.7","5.8","5.7"
"Apr-09","5.5","5.7","5.3"
"May-09","5.8","6.2","5.4"
"Jun-09","5.9","6.2","5.5"
"Jul-09","5.7","6.0","5.3"
"Aug-09","5.7","5.8","5.6"
"Sep-09","5.7","5.7","5.6"
"Oct-09","5.6","5.7","5.5"
"Nov-09","5.6","5.7","5.4"
"Dec-09","5.5","5.6","5.4"
"Jan-10","5.3","5.2","5.3"
"Feb-10","5.3","5.3","5.3"
"Mar-10","5.4","5.5","5.3"
"Apr-10","5.5","5.5","5.5"
"May-10","5.2","5.2","5.2"
"Jun-10","5.1","5.1","5.2"
"Jul-10","5.3","5.1","5.5"
"Aug-10","5.0","4.7","5.4"
"Sep-10","5.1","4.9","5.3"
"Oct-10","5.3","5.0","5.6"
"Nov-10","5.1","4.7","5.6"
"Dec-10","4.9","4.6","5.2"
"Jan-11","5.0","4.7","5.4"
"Feb-11","5.0","4.8","5.2"
"Mar-11","4.9","4.6","5.3"
"Apr-11","5.0","4.9","5.1"
"May-11","5.0","4.7","5.3"
"Jun-11","4.9","4.7","5.2"
"Jul-11","5.1","4.9","5.3"
"Aug-11","5.3","5.2","5.3"
"Sep-11","5.2","5.1","5.3"
"Oct-11","5.2","5.2","5.2"
"Nov-11","5.2","5.1","5.4"
"Dec-11","5.2","4.9","5.6"
"Jan-12","5.0","4.9","5.2"
"Feb-12","5.2","5.1","5.3"
"Mar-12","5.2","5.1","5.3"
"Apr-12","5.0","4.9","5.1"
"May-12","5.2","5.0","5.5"
"Jun-12","5.2","4.9","5.5"
"Jul-12","5.2","5.1","5.2"
"Aug-12","5.2","5.3","5.0"
"Sep-12","5.5","5.7","5.3"
"Oct-12","5.4","5.3","5.5"
"Nov-12","5.3","5.3","5.2"
"Dec-12","5.4","5.4","5.5"
"Jan-13","5.4","5.4","5.3"
"Feb-13","5.4","5.4","5.4"
"Mar-13","5.6","5.7","5.5"
"Apr-13","5.6","5.6","5.6"
"May-13","5.6","5.6","5.6"
"Jun-13","5.7","5.7","5.7"
"Jul-13","5.6","5.7","5.6"
"Aug-13","5.9","5.9","5.8"
"Sep-13","5.7","5.7","5.7"
"Oct-13","5.8","5.9","5.7"
"Nov-13","5.8","5.9","5.7"
"Dec-13","5.9","6.0","5.7"
"Jan-14","5.9","5.9","6.0"
"Feb-14","5.9","5.8","6.0"
"Mar-14","5.9","5.7","6.1"
"Apr-14","5.8","5.8","5.8"
"May-14","5.9","5.8","6.1"
"Jun-14","6.1","6.1","6.0"
"Jul-14","6.2","6.2","6.2"
"Aug-14","6.1","6.1","6.1"
"Sep-14","6.2","6.1","6.4"
"Oct-14","6.4","6.2","6.5"
"Nov-14","6.3","6.3","6.3"
"Dec-14","6.1","6.0","6.2"
"Jan-15","6.3","6.4","6.3"
"Feb-15","6.1","6.2","6.1"
"Mar-15","6.1","6.1","6.1"
"Apr-15","6.1","6.1","6.1"
"May-15","5.9","5.9","5.9"
"Jun-15","6.0","6.0","6.0"
"Jul-15","6.3","6.0","6.6"
"Aug-15","6.1","6.1","6.0"
"Sep-15","6.2","6.2","6.1"
"Oct-15","5.9","5.9","5.9"
"Nov-15","5.9","5.7","6.0"
"Dec-15","5.7","5.6","5.9"
"Jan-16","6.0","6.1","6.0"
"Feb-16","5.7","5.6","5.8"
"Mar-16","5.6","5.6","5.7"
"Apr-16","5.6","5.6","5.7"
"May-16","5.7","5.7","5.8"
"Jun-16","5.7","5.4","6.0"
"Jul-16","5.7","5.5","5.9"
"Aug-16","5.6","5.6","5.6"
"Sep-16","5.7","5.6","5.7"
"Oct-16","5.6","5.6","5.6"
"Nov-16","5.8","5.7","5.8"
"Dec-16","5.8","5.8","5.8"
"Jan-17","5.7","5.6","5.8"
"Feb-17","5.8","5.8","5.9"
"Mar-17","5.8","5.7","6.0"
"Apr-17","5.6","5.4","5.9"
"May-17","5.5","5.5","5.6"
"Jun-17","5.6","5.5","5.7"
"Jul-17","5.6","5.6","5.7"
"Aug-17","5.5","5.5","5.6"
"Sep-17","5.5","5.4","5.5"
"Oct-17","5.4","5.3","5.5"
"Nov-17","5.4","5.4","5.5"
"Dec-17","5.6","5.7","5.5"
"Jan-18","5.5","5.4","5.6"
"Feb-18","5.6","5.5","5.6"
"Mar-18","5.5","5.5","5.5"
"Apr-18","5.5","5.6","5.5"
"May-18","5.4","5.4","5.4"
"Jun-18","5.3","5.5","5.2"
"Jul-18","5.3","5.3","5.3"
"Aug-18","5.3","5.2","5.4"
"Sep-18","5.0","4.9","5.2"
"Oct-18","5.0","5.0","5.0"
"Nov-18","5.1","5.2","5.0"
"Dec-18","5.0","5.0","5.0"
"Jan-19","5.0","4.9","5.2"
"Feb-19","5.0","5.0","4.9"
"Mar-19","5.1","5.1","5.1"
"Apr-19","5.2","5.2","5.2"
"May-19","5.2","5.3","5.2"
"Jun-19","5.3","5.2","5.4"
"Jul-19","5.3","5.3","5.3"
"Aug-19","5.3","5.3","5.2"
"Sep-19","5.2","5.4","5.0"
"Oct-19","5.3","5.5","5.1"
"Nov-19","5.2","5.3","5.0"
"Dec-19","5.0","5.2","4.8"
"Jan-20","5.2","5.3","5.2"
"Feb-20","5.1","5.2","4.9"
"Mar-20","5.2","5.3","5.1"
"Apr-20","6.3","6.6","6.0"
"May-20","7.0","7.1","7.0"
"Jun-20","7.5","7.5","7.5"
"Jul-20","7.6","7.5","7.6"
"Aug-20","6.8","7.0","6.6"
"Sep-20","6.9","7.2","6.7"
"Oct-20","7.0","7.0","7.0"
"Nov-20","6.8","6.6","7.1"
"Dec-20","6.6","6.7","6.4"
"Jan-21","6.3","6.4","6.2"
"Feb-21","5.8","6.1","5.5"
"Mar-21","5.6","5.8","5.3"
"Apr-21","5.4","5.6","5.2"
"May-21","5.1","5.3","4.8"
"Jun-21","5.0","5.2","4.8"
"Jul-21","4.7","4.7","4.8"
"Aug-21","4.6","4.7","4.4"
"Sep-21","4.7","4.5","4.9"
"Oct-21","5.2","5.1","5.4"
"Nov-21","4.6","4.6","4.6"
"Dec-21","4.1","4.2","4.1"
"Jan-22","4.1","4.2","4.0"
"Feb-22","4.0","4.2","3.8"
"Mar-22","3.9","4.1","3.7"
"Apr-22","3.9","4.0","3.7"
"May-22","3.9","4.0","3.8"
"Jun-22","3.6","3.7","3.5"
"Jul-22","3.5","3.5","3.4"
"Aug-22","3.5","3.6","3.5"
"Sep-22","3.6","3.6","3.6"
"Oct-22","3.4","3.2","3.6"
"Nov-22","3.5","3.4","3.5"
"Dec-22","3.5","3.5","3.5"
"Jan-23","3.6","3.8","3.5"
"Feb-23","3.5","3.7","3.4"
"Mar-23","3.5","3.7","3.4"
"Apr-23","3.7","4.0","3.3"
"May-23","3.6","3.6","3.5"
"Jun-23","3.5","3.6","3.4"
"Jul-23","3.8","3.8","3.7"
"Aug-23","3.7","3.8","3.6"
"Sep-23","3.6","3.4","3.7"
"Oct-23","3.8","3.9","3.6"
"Nov-23","3.9","4.0","3.7"
"Dec-23","3.9","3.9","3.9"
"Jan-24","4.1","4.1","4.0"

"Source: Australian Bureau of Statistics, Labour Force, Australia January 2024"
